Subject,Question,A,B,D,C,E,I,F
Biology,"Blood circulation that starts in
capillaries and ends in capillaries is called",Portal circulation,Hepatic circulation,None of the above,cardiac arrest,,,
Biology,"The rate of uric acid excretion per day
through urine is",Nil,0.2 gm to 0.7 gm,\( 2 \mathrm{gm} \),\( 0.7 \mathrm{gm} \),,,
Biology,"Number of heart chambers present in human is 3
A . True",,False,,,,,
Biology,"Club moss belongs to
A . Algae",,,Bryophyta,Fungi,,,
Biology,A root swollen in the form of closely arranged rings is called,Annulated,Moniliform,Beaded,Fasciculated,,,
Biology,Chloroplast involvement in photosynthesis was discovered by,Julius von Sachs,Mayer,Liebig,Ingenhousz,,,
Biology,"In cyclic photophosphorylation, which one of the following is formed?",ATP,"NADP and ATP
\( \mathrm{c} \cdot \mathrm{NADH}_{2} \) and \( O_{2} \)","NADPH \( _{2} \), ATP and \( O_{2} \)",,,,
Biology,Which one of the following hormones is released by posterior lobe of pituitary gland?,FSH,ADH,MSH,АСТН,,,
Biology,"How do nitric oxide molecules cause
ozone depletion?",,,,,,,
Biology,"In meiosis I, the inter zonal fibers
appear in which stage?",Prophase I,Metaphase,Telophase I,Anaphase!,,,
Biology,"Identify the correct sequence of stages
in the water cycle.","Evaporation, condensation, precipitation","Condensation, precipitation, evaporation","Precipitation, evaporation, condensation","Evaporation, precipitation, condensation",,,
Biology,Name any two seeds of plant which are used as a source of biodiesel.,,,,,,,
Biology,Correct order of molecular weight is,DNA <rRNA<tRNAA,"DNA <mRNA <rRNA
\( c . \) tRNA \( < \) mRNA \( < \) DNA",tRNA \( < \) DNA \( < \) mRNA,,,,
Biology,Human RBC has,A nucleus,No nucleus,None of the above,More than one nucleus,,,
Biology,"What constitutes the central nervous
system ? How are the components of central nervous system protected? What are the constituents of peripheral
nervous systems?",,,,,,,
Biology,"Recognition of ethylene as a natural
plant hormone was done by",Pratt-Goeschi,Richmond-Lang,Haberlandt,Darwin,,,
Biology,"A dental disease characterised by
mottling of teeth is due to the presence of an ingredient in drinking water, namely",Flourine,Mercury,Chlorine,Boron,,,
Biology,The volume of blood pumped by heart in one minute is called?,Heart rate,systole,Diastols,cardiac output,,,
Biology,"How are the areas study of evolution
and classification interlinked?",,,,,,,
Biology,Which of the following vessel carries most of the oxygenated blood?,Pulmonary artery,Pulmonary vein,Cerebral artery,coronary artery,,,
Biology,Which of the following is found exclusively in the sea water?,Prawns,Trygon,oysters,crabs,,,
Biology,Trochophore larva occurs in,Annelida and porifera,Coelenterata and annelida,Annelida and mollusca,Mollusca and coelenterata,,,
Biology,"'Mycorrhizae' are useful for the plants
mainly due to",Fixing atmospheric nitrogen,Enhanced absorption of nutrients from soil,Providing resistance against abiotic stresses,killing insects and pathogens,,,
Biology,"Match list I with list II and choose the
correct answer.
\( \begin{array}{lllll} & \text { List } 1 & & \text { List II } \\ \text { (A) } & \text { Hypothalamus } & \text { (1) } & \begin{array}{l}\text { Sperm } \\ \text { lysine }\end{array} \\ \text { (B) } & \text { Acrosome } & \text { (2) } & \text { Estrogen } \\ \text { (C) } & \begin{array}{l}\text { Graafian } \\ \text { follicle }\end{array} & \text { (3) } & \text { Relaxin } \\ \text { (D) } & \text { Leydig cells } & \text { (4) } & \text { GnRH } \\ \text { (E) } & \text { Parturition } & \text { (5) } & \text { Testosterone }\end{array} \)
\( A \)
(A)- (4), (B)- (1), (C)- (2), (D)- (3), (E)- (5)",,"\( (A)-(2),(B)-(1),(C)-(4),(D)-(3),(E)-(5) \)
\( c \)
(A)- (2), (B)- (1), (C)- (5), (D)- (4), (E)- (3)","\( E \cdot(A)-(5),(B)-(1),(C)-C \)
(3) \( D_{D} \) (2)
(E)- (4)",,,,
Biology,Protonema is,Haploid and is found in mosses,Diploid and is found in liverworts,Haploid and is found in pteridophytes,Diploid and is found In pteridophytes,,,
Biology,Select the correct match of algal class and its characteristic flagellation.,"Chlorophyceae - 2-8 equal, apical","Phaeophyceae - 2, unequal, latera",All of these,Rhodophyceae- Absent,,,
Biology,"Very short answer type.
How many types of muscles occur in the body of a vertebrate?",,,,,,,
Biology,"Oxidation of pyruvate is accompanied by
A . oxidation of \( N A D^{+} \)",,Reduction of \( N A D^{+} \),Reduction of CoA,oxidation of CoA,,,
Biology,"Choose the correct answers from the
alternatives given If the sequence of bases in DNA is TAGC,
then the sequence of bases in RNA would be
A . AUCG",,TAGC,GCTA,АТСС,,,
Biology,Which type of floor does not allow rainwater to seep into the ground?,Cemented floor,Marble floor,None of the above,limestone floor,,,
Biology,"Stellate hairs are found in
A . Musa",,Citrus,Hydrilla,Styrax,,,
Biology,"Observe the given figure and answer
Label A and B.
4. A- sperm, B- ovum",,"A- ovum, B- sperm",,"A- ovary, B- spern
D- ovary, B- testis",,,
Biology,Pericardial fluid is secreted by,Myocardium,Perietal peritoneum,Pericardium,Visceral peritoneum,,,
Biology,The serial management of taxa is known as,Natural classification,Keys,taxonomy,Hierarchy,,,
Biology,Protists are,Unicellular and prokaryote,"B, C and D
\( c \cdot c \) and \( D \)",B and D,Multicellular and eukaryote,,,
Biology,"ldentify the unlabelled part of the
diagram.",Reflex arc,Impulse,None of the above,Motor neuron,,,
Biology,"""Determination of biological oxygen demand (BOD) can help in suggesting the quality of a water body"". Explain.",,,,,,,
Biology,"Which of the following is a correct nomenclature?

This question has multiple correct options",Felis domesticus,Felis domestica,tamarindus indica,Magnifera indicus,,,
Biology,"As we go up the layer of the atmosphere,
the pressure",increases,decreases,none of these,remains same,,,
Biology,"Which of the following is incorrect for
glycolysis?",The end products of this process are \( C O_{2} \) and \( H_{2} O \),IT produces ATP,None of these.,It uses ATP,,,
Biology,"In \( 1938, \) Max Perutz a political refugee at Cambridge University published Xray photograph crystal data for \( \ldots \ldots . . . . \) and proteins.",Haemoglobin and pepsin,Pepsin and papain,Immunoglobulin and haemoglobin,Myoglobin and haemoglobin,,,
Biology,"How are the functions of the
reproductive organs in human beings controlled?",,,,,,,
Biology,"What is that condition when
androecium consists of 4 long and 2
short stamens?",Didynamous,Tetradynamous,None of the above,Diplostemonous,,,
Biology,"Short / Long answer type questions.
(a) Explain the phenomena of multiple allelism and co-dominance taking ABO blood group as an example.
(b) What is
the phenotype of the following: (i) \( A \) i,
(ii) ii",,,,,,,
Biology,"In India the family planning program officially started in
A . 1958",,1991,1951,2000,,,
Biology,Sterile jacket cells around reproductive cells is characteristic of,Algae,Bryophyta,Thallophyta,Fungi,,,
Biology,"Basal metabolism disorders are caused
by",Impairment of the pituitary,Impairment of the gonads,Impairment of the thymus,Impairment of the thyroid,Impairment of the parathyroid,,
Biology,"Who among the following gave an incorrect statement?

Rohan : There are more than 1000
varieties of mangoes in India. Priti : Every year, the International Mango Festival is held in Nagpur. Raj : Mango fruit is an excellent source of vitamin \( A, B, C, E \) and
flavonoids.
Simaran : Best 50 varieties of mangoes
are only exhibited in international
Mango Festival",Priti and Raj,Rohan and Simran,Rohan and Raj,Priti and Simran,,,
Biology,"The sympathetic nervous system
causes",Constriction of the pupil,Decreased heart rate,Reduction of adrenaline secretion,Increased gastric secretion,Increased respiration,,
Biology,Protein required for coagulation of blood is,Haemoglobin,Globulin,Albumin,Fibrinogen,,,
Biology,"Match the columns.
A \( \begin{array}{clcc} & \text { List I } & & \text { List } \\ & & & \text { II } \\ \text { A } & \text { Residual volume } & 1 & 4.6 \mathrm{L} \\ \text { B } & \text { Vital capacity } & 2 & 1.2 \mathrm{L} \\ \text { C } & \begin{array}{l}\text { Inspiratory reserve } \\ \text { volume }\end{array} & 3 & 3.5 \mathrm{L} \\ \text { D } & \text { Inspiratory capacity } & 4 & 3 \mathrm{L}\end{array} \)","\( A-2, B-1, C-4, D-3 \)","\( A-2, B-1, C-3, D-4 \)","\( A-1, B-2, C-3, D-4 \)",,,,
Biology,Binomial of vilvam is,Acalypha indica,Aegle marmelos,Mimosa pudica,cissus quadrangularis,,,
Biology,"In honey bee the drones (males) are
produced from",Unfertilized eggs,Fertilized eggs,"Larvae from unfertilized eggs, which are not cared by the workers at all","Larvae from unfertilized eggs, which are fed on royal jelly",,,
Biology,"Define the term and give one example
Bilateral symmetry",,,,,,,
Biology,"Identify the wrong statements from the following.
(i) Branches of limited growth in
Asparagus perform photosynthesis.
(ii) Petiole of Australian Acacia helps in
climbing.
(iii) Floral buds of Agave store food materials.
(iv) Aerial roots of taeniophyllum help in
vegetative propagation.","i, iv","i, i i
C . iii, iv","ii, iv",,,,
Biology,"In protochordates, the epidermis is",Absent,Multilayered,single layered,A few layered,,,
Biology,"The ""lock and key"" model of enzyme action illustrates that a particular
enzyme molecule",May be destroyed and resynthesized several times,Interacts with a specific type of substrate molecul,Forms a permanent enzyme-substrate complex,Reacts at identical rates under all conditions,,,
Biology,Define cell cycle?,,,,,,,
Biology,"Marchantia is Bryophyte because it lacks
A . Roots",,Independent sporophyte,Vascular tissue,seeds,,,
Biology,"The recent ancestors of modern man
were",Java ape man and Peking man,Poking man and Rhodesian man,Cro-Magnon and Neanderthal man,Rhodesian man and Cro-Magnon man,,,
Biology,What do you mean by producers?,,,,,,,
Biology,"For \( \mathrm{NADPH}+\boldsymbol{H}^{+} \) formation
A . only PS lis required",,only PS II is required,only stroma is required,both PS I and PS I I are required,,,
Biology,"Petroleum is
resource.",Inexhaustible,Exhaustible,None of these,Both \( A \& B \),,,
Biology,The renal abnormality detection procedure uses the following techniques except,Pyelography,Polarography,x-ray photography,cytoscope,,,
Biology,Splenic artery arises from?,Anterior mesenteric artery,Coeliac artery,Intestinal artery,Posterior mesenteric artery,,,
Biology,Closed circulatory system is found in,Fishes,Amphibians,All of the above,Birds,,,
Biology,The bond formed between phosphate and pentose sugars of DNA is,Sulphide bond,Phosphodiester bond,covalent bond,Hydrogen bond,,,
Biology,"Ausralopithecus and Homo erectus both had erect posture. But why Homo erectus is considered more advanced? Give
atleast three such differentiating points to illustrate your answer.",,,,,,,
Biology,"Which of the following kinds of venation is present in banana?
A . Reticulate unicostate",,Reticulate multicostate,parallel multicostate,parallel unicostate,,,
Biology,"The water moving upward forms a column, which is maintained up to a certain height due to",Osmosis,Transpiration pull,Diffusion,Translocational pool,,,
Biology,"All are examples of cranial reflexes but
not",Salivation,Scratching,Sneezing,Blushing,,,
Biology,"Assertion
Spongy bones are specialized to form
erythrocytes.
Reason
They contain osteocytes and
osteoblasts.","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion.",Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion.,Assertion is incorrect but Reason is correct.,Assertion is correct but Reason is incorrect.,,,
Biology,"Assertion
Plant taxonomy is known as systematic botany
Reason
Taxonomy involves only plant classification.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is incorrect and Reason is correct.,Assertion is correct and Reason is incorrect,,,
Biology,"Due to the capacity to absorb water, which among the following is used to replace cotton and also used as a fuel?",Marchantia,Riccia,Funaria,sphagnum,,,
Biology,Reducing power generated during light reaction is used during formation of,3-phosphoglyceraldehyde from RuBP,Sucrose from triose phosphate,RuBP from triose phosphate,Glyceraldehyde 3-phosphate from 3-phosphoglycerate,,,
